>:[,sadness
:-(,sadness
:(,sadness
:-c,sadness
:c,sadness
:-<,sadness
:<,sadness
:-[,sadness
:[,sadness
:{,sadness
:’-(,sadness
:’(,sadness
:-||,anger
:@>,anger
:(,anger
:),joy
;),joy
=),joy
:],joy
:P,joy
:-P,joy
;P,joy
:D,joy
;D,joy
:>,joy
:3,joy
:-),joy
;-),joy
:^),joy
:o),joy
:~),joy
;^),joy
;o),joy
:’),joy
:-D,joy
:->,joy
:-o,surprise
:-O,surprise
o_O,surprise
O_o,surprise
:$,surprise
D:<,disgust
D:,disgust
D8,disgust
D;,disgust
D=,disgust
DX,disgust
v.v,disgust
D-’,disgust
